finding,entity,detail,classification,evidence_based_rationale,remediation,observed_at
unindexed_foreign_keys,public.admin_audit_log,Table \`public.admin_audit_log\` has a foreign key \`admin_audit_log_user_id_fkey\` without a covering index. This can lead to suboptimal query performance.,DEFER UNTIL SCALE,The 33 affected tables total 14 estimated live rows; 29 are empty and the largest has 5 rows. Production telemetry shows no material FK join or cascade bottleneck. Re-evaluate when row counts or query latency increase.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,2026-09-02T01:23:32.203Z
unindexed_foreign_keys,public.async_action_failures,Table \`public.async_action_failures\` has a foreign key \`async_action_failures_user_id_fkey\` without a covering index. This can lead to suboptimal query performance.,DEFER UNTIL SCALE,The 33 affected tables total 14 estimated live rows; 29 are empty and the largest has 5 rows. Production telemetry shows no material FK join or cascade bottleneck. Re-evaluate when row counts or query latency increase.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,2026-09-02T01:23:32.203Z
unindexed_foreign_keys,public.audit_events,Table \`public.audit_events\` has a foreign key \`audit_events_user_id_fkey\` without a covering index. This can lead to suboptimal query performance.,DEFER UNTIL SCALE,The 33 affected tables total 14 estimated live rows; 29 are empty and the largest has 5 rows. Production telemetry shows no material FK join or cascade bottleneck. Re-evaluate when row counts or query latency increase.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,2026-09-02T01:23:32.203Z
unindexed_foreign_keys,public.contact_imports,Table \`public.contact_imports\` has a foreign key \`contact_imports_imported_by_fkey\` without a covering index. This can lead to suboptimal query performance.,DEFER UNTIL SCALE,The 33 affected tables total 14 estimated live rows; 29 are empty and the largest has 5 rows. Production telemetry shows no material FK join or cascade bottleneck. Re-evaluate when row counts or query latency increase.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,2026-09-02T01:23:32.203Z
unindexed_foreign_keys,public.conversations,Table \`public.conversations\` has a foreign key \`conversations_assigned_to_fkey\` without a covering index. This can lead to suboptimal query performance.,DEFER UNTIL SCALE,The 33 affected tables total 14 estimated live rows; 29 are empty and the largest has 5 rows. Production telemetry shows no material FK join or cascade bottleneck. Re-evaluate when row counts or query latency increase.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,2026-09-02T01:23:32.203Z
unindexed_foreign_keys,public.conversations,Table \`public.conversations\` has a foreign key \`conversations_lead_id_fkey\` without a covering index. This can lead to suboptimal query performance.,DEFER UNTIL SCALE,The 33 affected tables total 14 estimated live rows; 29 are empty and the largest has 5 rows. Production telemetry shows no material FK join or cascade bottleneck. Re-evaluate when row counts or query latency increase.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,2026-09-02T01:23:32.203Z
unindexed_foreign_keys,public.email_attachments,Table \`public.email_attachments\` has a foreign key \`email_attachments_document_id_fkey\` without a covering index. This can lead to suboptimal query performance.,DEFER UNTIL SCALE,The 33 affected tables total 14 estimated live rows; 29 are empty and the largest has 5 rows. Production telemetry shows no material FK join or cascade bottleneck. Re-evaluate when row counts or query latency increase.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,2026-09-02T01:23:32.203Z
unindexed_foreign_keys,public.email_provider_events,Table \`public.email_provider_events\` has a foreign key \`email_provider_events_email_id_fkey\` without a covering index. This can lead to suboptimal query performance.,DEFER UNTIL SCALE,The 33 affected tables total 14 estimated live rows; 29 are empty and the largest has 5 rows. Production telemetry shows no material FK join or cascade bottleneck. Re-evaluate when row counts or query latency increase.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,2026-09-02T01:23:32.203Z
unindexed_foreign_keys,public.email_templates,Table \`public.email_templates\` has a foreign key \`email_templates_created_by_fkey\` without a covering index. This can lead to suboptimal query performance.,DEFER UNTIL SCALE,The 33 affected tables total 14 estimated live rows; 29 are empty and the largest has 5 rows. Production telemetry shows no material FK join or cascade bottleneck. Re-evaluate when row counts or query latency increase.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,2026-09-02T01:23:32.203Z
unindexed_foreign_keys,public.email_threads,Table \`public.email_threads\` has a foreign key \`email_threads_lead_id_fkey\` without a covering index. This can lead to suboptimal query performance.,DEFER UNTIL SCALE,The 33 affected tables total 14 estimated live rows; 29 are empty and the largest has 5 rows. Production telemetry shows no material FK join or cascade bottleneck. Re-evaluate when row counts or query latency increase.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,2026-09-02T01:23:32.203Z
